date,agreement,type,subject,organizator,comment,place,total,id
08.04.2012,не согласовано,"прогулки, оккупай",За честные выборы,Солидарность,Прогулки с белыми лентами,Красная площадь,2,63
10.04.2012,не согласовано,пикет,За честные выборы,стихийная,Пикетирование представительства Астрахани,,1,64
10.04.2012,не согласовано,пикет,социальная,другое,"завода ""Камов"" ",Красная площадь,10,65
11.04.2012,не согласовано,акция,За честные выборы,стихийная,Белая Дума,Госдума,16,66
15.04.2012,не согласовано,"прогулки, оккупай",За честные выборы,Солидарность,Прогулки с белыми лентами,Красная площадь,3,67
17.04.2012,не согласовано,акция,экология,Экологи,Гринпис,,23,68
19.04.2012,не согласовано,пикет,Pussy Riot,стихийная,Фестиваль Pussy Riot,Таганский суд,30,69
19.04.2012,не согласовано,"прогулки, оккупай",другое,стихийная,Фотопрогулка по Тверской ,Тверская,7,70
21.04.2012,не согласовано,эколагерь,экология,Экологи,Жуковский,Жуковский,7,71
22.04.2012,не согласовано,"прогулки, оккупай",За честные выборы,Солидарность,Прогулки с белыми лентами,Красная площадь,5,72
22.04.2012,не согласовано,эколагерь,экология,Экологи,Жуковский,Жуковский,3,73
29.04.2012,не согласовано,акция,Pussy Riot,другое,,ХХС,3,74
29.04.2012,не согласовано,другое,другое,другое,,м.Охотный ряд,1,75
29.04.2012,не согласовано,"прогулки, оккупай",За честные выборы,Солидарность,Прогулки с белыми лентами,Красная площадь,6,76
29.04.2012,не согласовано,эколагерь,экология,Экологи,Жуковский,Жуковский,2,77
30.04.2012,не согласовано,эколагерь,экология,Экологи,Жуковский,Жуковский,2,78
01.05.2012,не согласовано,другое,другое,другое,В Масках,Трубная площадь,15,79
02.05.2012,не согласовано,агитация,марш миллионов,Оргкомитет протестных действий,разадача листовок,м.Комсомольская,5,80
03.05.2012,согласовано,агитация,марш миллионов,другое,раздача листовок,согласованный митинг у театра Сац,1,81
04.05.2012,не согласовано,другое,другое,другое,петанк,,2,82
06.05.2012,не согласовано,акция,антиПутин,другое,не пустим вора в Кремль,"Манежная, Тверская",200,83
06.05.2012,согласовано,марш,марш миллионов,Оргкомитет протестных действий,Марш миллионов,Болотная,450,84
07.05.2012,не согласовано,"прогулки, оккупай",антиПутин,Мастерская протестных действий,Белый город,"Манежная, Китай-Город, Чистые Пруды, Кропоткинская — далее везде",499,85
08.05.2012,не согласовано,"прогулки, оккупай",другое,стихийная,прогулки,"Чистые пруды, Лубянка, Арбат, Патрики, Пушкинская, Тверская",341,86
09.05.2012,не согласовано,"прогулки, оккупай",другое,стихийная,Прогулки,"Баррикадная, Лубянка, Александровский сад",38,87
10.05.2012,не согласовано,пикет,политзеки,стихийная,пикет у спецприемника,симферопольский,2,88
15.05.2012,не согласовано,оккупай,оккупай,стихийная,газон,Чистые пруды,1,89
15.05.2012,не согласовано,оккупай,оккупай,стихийная,документы,никитский бульвар,4,90
16.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,"Чистые пруды, баррикадная",28,91
17.05.2012,не согласовано,оккупай,оккупай,стихийная,,баррикадная,12,92
18.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,баррикадная,2,93
18.05.2012,не согласовано,пикет,политзеки,стихийная,пикет поддержка удальцова,,1,94
19.05.2012,не согласовано,оккупай,оккупай,стихийная,Оккупаи,"Баррикадная, Арбат, Никитская",98,95
19.05.2012,не согласовано,эколагерь,экология,Экологи,жуковский,жуковский,21,96
20.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,арбат,14,97
21.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,баррикадная,20,98
21.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,арбат,1,99
22.05.2012,не согласовано,активист,другое,стихийная,лукьянов,баррикадная,1,100
22.05.2012,не согласовано,пикет,другое,стихийная,пикет,госудма,6,101
24.05.2012,не согласовано,оккупай,оккупай,стихийная,гуляющие у оккупая,арбат,5,102
25.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,чистые пруды,2,103
27.05.2012,не согласовано,митинг,ЛГБТ,другое,ЛГБТ,,30,104
27.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,арбат,3,105
27.05.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,арбат,40,106
28.05.2012,не согласовано,пикет,политзеки,стихийная,#оккупаймур ,петровка,10,107
28.05.2012,не согласовано,"прогулки, оккупай",Pussy Riot,стихийная,оккупайсуд,,4,108
29.05.2012,не согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,пушкинская,4,109
29.05.2012,не согласовано,пикет,политзеки,стихийная,#оккупаймур ,петровка,4,110
30.05.2012,не согласовано,агитация,другое,стихийная,раздача листовок,меттро ,1,111
31.05.2012,не согласовано,Стратегия-31,Стратегия-31,С-31,Стратегия-31,Триумфальная,133,112
02.06.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,арбат,9,113
02.06.2012,не согласовано,оккупай,оккупай,стихийная,оккупаи,Чистопрудный бульвар,5,114
03.06.2012,не согласовано,агитация,другое,стихийная,листовки омону,строгино,2,115
03.06.2012,согласовано,пикет,антиПутин,Другая Россия,пикет ,новокузнецкая,1,116
04.06.2012,не согласовано,агитация,марш миллионов,стихийная,листовки,метро ,1,117
05.06.2012,не согласовано,пикет,закон о митингах,стихийная,Против принятия закона о митингах,Госдума,71,118
06.06.2012,не согласовано,пикет,закон о митингах,стихийная,пикет,совфед,2,119
06.06.2012,не согласовано,"прогулки, оккупай",закон о митингах,стихийная,Против подписания закона о митингах,Манежная,13,120
06.06.2012,не согласовано,эколагерь,экология,Экологи,химлес,химки,6,121
07.06.2012,не согласовано,пикет,закон о митингах,стихийная,пикет,госудма,2,122
09.06.2012,не согласовано,пикет,политзеки,стихийная,оккупаймур,петровка,13,123
11.06.2012,не согласовано,агитация,марш миллионов,стихийная,листовки,метро проспект мира,2,124
13.06.2012,не согласовано,пикет,политзеки,стихийная,оккупайск,,5,125
16.06.2012,не согласовано,пикет,другое,другое,пикет ,Пушкинская,2,126
16.06.2012,не согласовано,пикет,политзеки,стихийная,оккупайск,,17,127
17.06.2012,согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,6,128
20.06.2012,не согласовано,пикет,Pussy Riot,стихийная,pussy riot ,,19,129
22.06.2012,согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,7,130
24.06.2012,согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,1,131
